序号,name,industry,area,pe,outstanding,总股本,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,code,经营现金净流量对销售收入比例,rateofreturn,cf_nm,cf_liabilities,cashflowratio,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,营业收入,bips,经营现金净流量,每股经营现金净流量,净资产,市价,总市值,市经营现金,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,mktcap,nmc
254,鸿特精密,汽车配件,广东,35.99,1.07,1.07,245437.77,138448.3,91892.52,31930.75,2.98,2.615,8.36,15.01,20110215,44334.4,4.13,79.07,772.29,52.94,14.76,3245,300176,0.4077,0.3157,2.7616,0.4974,58.2243,31.28,14.76,52.9433,280.5644,2.6152,1900.2748,17.7132,774742036,7.24 ,894520000.00 ,125.48 ,13426745200.00 ,17.33 ,,,,,,,,,,,,
1629,欧亚集团,百货,吉林,13.18,1.55,1.59,1971918.75,582994.69,982756.13,29804,1.87,1.315,14.16,1.63,19931206,170789.16,10.74,4.16,0.45,21.35,2.1,17548,600697,0.095,0.048,2.353,0.0634,7.5252,7.33,2.09,21.3547,209.1944,1.3149,9973.8998,62.6942,947520481,5.96 ,2251440000.00 ,23.08 ,3669847200.00 ,3.87 ,,,,,,,,,,,,
1472,*ST紫学,文教休闲,福建,29.03,0.96,0.96,373749.47,166655.75,14803.67,5808.39,0.6,0.662,1.08,23.62,19931101,-5105.64,-0.53,178.83,278.9,31.12,2.79,14177,526,0.1922,0.1175,7.0017,0.1207,12.1289,61.03,2.78,31.1212,63.6477,0.6616,2283.9083,23.7424,438967175.3,4.57 ,103680000.00 ,25.51 ,2448921600.00 ,5.58 ,,,,,,,,,,,,
383,尚品宅配,家居用品,广东,66.19,0.27,1.1,410123.47,308207.19,78285.93,155398.47,14.08,2.06,21.99,7.48,20170307,89358.5,8.09,0,0,45.4,5.73,11861,300616,0.1296,0.1134,2.261,0.278,27.8349,8.47,5.73,45.4028,205.7717,1.864,3588.8635,32.5107,465116709.6,4.23 ,2418900000.00 ,164.49 ,18093372000.00 ,38.90 ,,,,,,,,,,,,
741,中国神华,煤炭开采,北京,10.33,164.91,198.9,56003400,12097900,30580700,7472900,3.76,1.792,14.69,1.68,20071009,17336300,8.72,46.26,105.98,41.69,19.53,204189,601088,0.4592,0.1497,1.9747,0.4347,74.9269,12.19,19.52,41.6901,35649,1.7923,182535,9.1773,83820072000,4.21 ,292184100000.00 ,24.68 ,490869288000.00 ,5.86 ,,,,,,,,,,,,
529,同力水泥,水泥,河南,9.21,4.27,4.96,790873.75,61172.21,519215.25,5521.35,0.11,1.2,3.75,3.91,19990319,92444.4,1.86,20.93,115.91,42.64,15.58,57040,885,0.4945,0.2376,2.8652,0.3186,98.3655,31.82,15.58,42.6442,592.223,1.193,3800.8418,7.657,1879516270,3.79 ,1860000000.00 ,14.66 ,7272600000.00 ,3.87 ,,,,,,,,,,,,
1148,黔源电力,水力发电,贵州,9.78,3.05,3.05,1755151.75,136592.02,1598501,114406.01,3.75,1.13,7.8,1.89,20050303,79929.81,2.62,22.03,78.56,56.21,16.82,18000,2039,0.5586,0.0653,1.9719,0.0881,84.6292,14.49,16.81,56.2133,345.0464,1.1298,2051.4872,6.7174,1145960750,3.76 ,2379000000.00 ,14.74 ,4496310000.00 ,3.92 ,,,,,,,,,,,,
3022,信达地产,全国地产,北京,20.47,15.24,15.24,6754441.5,5861861.5,28533.98,153906.94,1.01,0.2,6,0.91,19930524,607633.69,3.99,113.84,77,22.74,3.22,54331,600657,0.5698,0.08,13.1315,0.0931,18.9025,3.33,3.21,22.7412,304.877,0.2,9478.8023,6.2186,5401021551,3.54 ,9144000000.00 ,5.46 ,8321040000.00 ,1.54 ,,,,,,,,,,,,
1793,大商股份,百货,辽宁,12.01,2.94,2.94,1802486.25,1076796.88,525624.13,121361.57,4.13,2.201,24.4,1.44,19931122,497989.91,16.95,-6.03,-0.24,22.42,3.18,25789,600694,0.0505,0.0569,1.599,0.097,11.3764,9.02,3.18,22.4211,646.5236,2.2011,20311.3318,69.1523,1025722256,3.49 ,7173600000.00 ,35.14 ,10329984000.00 ,10.07 ,,,,,,,,,,,,
3203,电连技术,元器件,深圳,25.63,0.3,1.2,329440.88,281085.16,34557.31,225825.5,18.82,2.84,25.18,3.11,20170731,59821.28,4.99,0,0,47.23,26.21,26660,300679,0.3979,0.1267,1.5131,1.6009,167.0084,9.1,26.21,47.2277,274.9882,2.2915,1049.1002,8.7425,417436969.6,3.48 ,3021600000.00 ,78.31 ,9397176000.00 ,22.51 ,,,,,,,,,,,,
644,沧州大化,农药化肥,河北,9.95,2.94,2.94,443183.44,182274.09,214020.91,64217.56,2.18,3.28,8.3,5.24,20000406,129972.82,4.42,70.64,1066.43,54.82,30.84,43132,600230,0.3105,0.2192,0.8975,0.5602,61.6689,39.49,30.84,54.8175,964.9116,3.2799,3128.3276,10.6337,971345719.8,3.30 ,2440200000.00 ,43.49 ,12786648000.00 ,13.16 ,,,,,,,,,,,,
633,南京公用,供气供热,江苏,24.7,3.92,5.73,846051.19,453538.81,283009.88,40569.8,0.71,0.158,4.25,1.22,19960806,127727.26,2.23,-3.28,-29.91,22.58,3.46,30870,421,0.7249,0.2237,13.3399,0.3687,41.8699,3.71,3.46,22.5756,90.4137,0.1578,2610.8372,4.5592,1892595886,3.30 ,2435250000.00 ,5.19 ,2971005000.00 ,1.57 ,,,,,,,,,,,,
546,青岛啤酒,啤酒,山东,20.5,6.96,13.51,3255315.5,1541173.88,1112736.88,344419.53,2.55,1.384,13.12,2.88,19930827,1142237.38,8.45,1.51,1.6,42.42,7.99,30123,600600,0.1851,0.133,2.1681,0.305,37.9902,10.55,7.99,42.4217,1869.4887,1.3837,23384.9889,17.3096,4328561445,3.20 ,17725120000.00 ,37.79 ,51048345600.00 ,11.79 ,,,,,,,,,,,,
1630,苏州高新,园区开发,江苏,16.66,11.39,11.94,2729255,1921988.63,176538.95,179053.06,1.5,0.262,4.84,1.2,19960815,212259.25,1.78,-51.81,6.89,24.85,13.15,70058,600736,1.5966,0.1389,8.9177,0.2044,25.5869,4.35,13.15,24.8467,312.3636,0.2615,2375.1203,1.9887,3792117071,3.18 ,5778960000.00 ,5.81 ,6934752000.00 ,1.83 ,,,,,,,,,,,,
195,美的集团,家用电器,广东,18.72,63.58,65.75,24218328,16334994,2234857.75,1542556.13,2.35,2.31,10.92,5.21,19931112,4663788.5,7.09,60.64,17.1,25.35,8.02,106209,333,0.1073,0.0829,1.2463,0.1239,17.4625,21.05,8.02,25.3488,14998.175,2.2904,186948.866,28.5498,20059613322,3.05 ,71799000000.00 ,56.89 ,374072790000.00 ,18.65 ,,,,,,,,,,,,
1487,华发股份,区域地产,广东,14.02,19.14,21.18,13346109,12576668,83527.81,428180.44,2.02,0.409,5.83,1.31,20040225,541314.63,2.56,65.3,128.03,24.07,6.8,58867,600325,0.5062,0.0483,6.058,0.0583,10.9182,7,6.79,24.0698,865.8482,0.4087,12740.6163,6.0145,6449299971,3.04 ,12347940000.00 ,7.64 ,16175801400.00 ,2.51 ,,,,,,,,,,,,
3025,蒙娜丽莎,其他建材,广东,22.17,0.39,1.58,251588.5,194264.8,36481.32,33384.01,2.12,1.496,8.69,5.09,20171219,54358.8,3.45,0,0,35.89,11.44,77378,2918,0.2207,0.1809,1.9283,0.3058,32.0442,22.95,11.44,35.8936,235.9968,1.995,2062.008,17.4318,455085165.6,2.88 ,1373020000.00 ,44.23 ,6988671800.00 ,15.36 ,,,,,,,,,,,,
596,洋河股份,白酒,江苏,25.27,12.4,15.07,3955368,2526792.25,784142.25,74170.4,0.49,3.704,18.89,6.61,20091106,2546643,16.9,15.08,15.34,62.25,33.07,20791,2304,0.2541,0.1084,0.7696,0.3863,39.8033,19.6,33.06,62.2529,5581.6621,3.7038,16878.326,11.2,4288782637,2.85 ,28467230000.00 ,124.86 ,188168390300.00 ,43.87 ,,,,,,,,,,,,
1878,中粮糖业,食品,新疆,20.83,20.52,20.52,1914967.75,1261385.13,435649.16,414444.03,2.02,0.246,3.37,2.02,19960731,40347.9,0.2,66.05,51.86,15.65,3.53,168718,600737,0.4076,0.3042,12.5411,0.4793,53.6758,7.28,3.53,15.6547,504.5366,0.2458,14291.4885,6.965,5825210713,2.84 ,6915240000.00 ,6.81 ,13968784800.00 ,2.40 ,,,,,,,,,,,,
1481,绿地控股,全国地产,上海,10.47,32.23,121.68,77101312,69979480,1059679,900962.5,0.74,0.539,4.78,1.57,19920327,3504678.5,2.88,19.92,10.86,13.92,3.64,160918,600606,0.1869,0.0437,3.9545,0.0492,6.6051,10.89,3.63,13.9173,6562.6324,0.5393,180388.7611,14.8246,33714659450,2.77 ,58163040000.00 ,7.50 ,91315972800.00 ,2.71 ,,,,,,,,,,,,
3099,萃华珠宝,服饰,辽宁,34.38,1.51,1.51,276075.66,246642.25,15871.55,40195.59,2.67,0.306,7.71,1.82,20141104,57615.23,3.82,4.62,82.87,9.79,2.37,14842,2731,0.2138,0.1509,9.6419,0.2583,26.1344,3.96,2.36,9.788,46.1174,0.306,1948.1114,12.9287,416506217.3,2.76 ,1164210000.00 ,14.03 ,2118862200.00 ,5.09 ,,,,,,,,,,,,
642,扬农化工,农药化肥,江苏,28.81,3.1,3.1,659793.81,398101.84,200025.52,81536.68,2.63,1.313,12.04,4.19,20020425,227003.02,7.33,45.8,38.2,26.51,12.93,13785,600486,0.2691,0.1283,1.9808,0.3111,31.4162,10.9,12.93,26.511,406.9565,1.3131,3146.7988,10.1542,846803557.1,2.73 ,3732400000.00 ,50.45 ,15638756000.00 ,18.47 ,,,,,,,,,,,,
3028,重庆百货,百货,重庆,14.69,4.06,4.07,1272017.25,767291.94,236339.84,40337.35,0.99,1.234,12.11,2,19960702,377961.09,9.3,-4.75,26.89,17.78,2.07,18009,600729,0.0458,0.0874,2.0791,0.1452,14.6453,10.18,2.06,17.7768,501.7028,1.2341,24252.8146,59.6583,1110778909,2.73 ,4928770000.00 ,24.22 ,9857540000.00 ,8.87 ,,,,,,,,,,,,
1414,中国联通,电信运营,上海,105.95,211.97,302.34,59056808,9962275,35827208,2781473.75,0.92,0.06,3.72,1.65,20021009,3074480.25,1.02,-0.66,168.42,25.71,0.64,787261,600050,0.3846,0.134,20.0033,0.2225,24.7386,1.66,0.63,25.7108,1311.9446,0.0618,205777.5798,9.708,79142057191,2.62 ,112470480000.00 ,6.14 ,185576292000.00 ,2.34 ,,,,,,,,,,,,
3356,锦江股份,酒店餐饮,上海,33.93,6.49,9.58,4322703.5,1188005.75,678850.56,881026.31,9.2,0.743,13.55,2.48,19961011,202863.42,2.12,32.86,40.75,90.35,7.1,53115,600754,0.2487,0.0577,3.1209,0.0871,19.2565,5.48,7.09,90.3464,711.7201,0.7429,10030.4834,10.4709,2494581222,2.60 ,12980900000.00 ,33.60 ,32192632000.00 ,12.91 ,,,,,,,,,,,,
2259,中航地产,全国地产,深圳,0,6.67,6.67,1919107.75,988129.19,62590.25,54605.63,0.82,-0.108,5.94,1.45,19940928,243339.91,3.65,-8.72,-173.84,22.16,-1.92,23314,43,0.461,0.0899,,0.1183,25.8241,-1.81,-1.91,22.1647,-71.741,-0.1075,3744.2676,5.6139,1726107364,2.59 ,3961980000.00 ,8.61 ,5744871000.00 ,3.33 ,,,,,,,,,,,,
664,北方国际,建筑施工,北京,16.31,4.08,5.13,1201348.13,984759.88,38686.73,117068.3,2.28,0.679,6.82,2.16,19980605,171471.8,3.34,12.57,54.49,13.14,5.18,31644,65,0.1965,0.11,3.7033,0.1638,18.246,9.94,5.17,13.1428,348.1356,0.6786,6725.4596,13.1099,1321552811,2.58 ,3498660000.00 ,14.73 ,7557105600.00 ,5.72 ,,,,,,,,,,,,
267,蓝光发展,区域地产,四川,29.05,8.83,21.34,9323756,8361430.5,107743.82,138724.16,0.65,0.22,4.32,2.3,20010212,499685.31,2.34,28.28,161.81,25.15,5.03,65870,600466,0.4919,0.0574,10.2358,0.069,11.0926,5.06,5.03,25.1495,547.7781,0.2566,10888.4769,5.1016,5356041787,2.51 ,9218880000.00 ,9.94 ,21203424000.00 ,3.96 ,,,,,,,,,,,,
2923,神马股份,化纤,河南,43.26,4.42,4.42,978145.38,474466.41,237831.38,179027.56,4.05,0.158,5.73,1.59,19940106,6152.91,0.14,7.09,-6.38,7.82,0.88,32033,600810,0.1384,0.1128,10.0247,0.1619,21.2421,2.75,0.87,7.8209,69.8505,0.1579,7973.0634,18.0271,1103471975,2.50 ,2532660000.00 ,9.11 ,4026929400.00 ,3.65 ,,,,,,,,,,,,
93,金牌厨柜,家居用品,福建,89.61,0.17,0.67,144356.2,90831.6,38794.26,44175.42,6.59,1.57,11.64,13.88,20170512,24154.51,3.61,0,0,37.63,9.37,4552,603180,0.1691,0.1133,1.8049,0.2463,25.4321,11.62,9.36,37.6321,90.5926,1.3521,967.1897,14.4356,163551778.3,2.44 ,779880000.00 ,161.56 ,10824734400.00 ,66.19 ,,,,,,,,,,,,
2250,渤海金控,多元金融,新疆,14.46,31.16,61.85,31088822,5765114,18376382,1722281.25,2.78,0.303,5.05,1.16,19960716,717891.13,1.16,61.4,30.09,38.62,6.65,103831,415,0.535,0.0485,6.6851,0.0548,21.2985,5.99,6.65,38.616,1872.817,0.3028,28153.959,4.5523,15062368065,2.44 ,31234250000.00 ,5.86 ,36231730000.00 ,2.41 ,,,,,,,,,,,,
71,步长制药,中成药,山东,23.08,3.28,6.82,1741330.75,594214.44,126133.47,384257.94,5.64,1.657,18.53,2.75,20161118,777835.31,11.41,4.92,-10.2,82.23,11.96,50939,603858,0.1756,0.0952,1.4678,0.3512,37.5643,8.94,11.96,82.2258,1130.0834,1.6574,9445.593,13.8539,1658646131,2.43 ,12637460000.00 ,50.96 ,34753015000.00 ,20.95 ,,,,,,,,,,,,
2310,天目湖,旅游景点,江苏,25.92,0.2,0.8,131533.55,42980.46,75561.21,35576.37,4.45,1.3,9.39,3.6,20170927,28497.36,3.56,0,0,68.22,22.31,19990,603136,0.5455,0.1456,2.1507,0.3804,112.268,10.41,22.3,68.2245,78.2824,0.9785,350.9511,4.3868,191443825.1,2.39 ,751200000.00 ,33.80 ,2704320000.00 ,14.13 ,,,,,,,,,,,,
1362,星宇股份,汽车配件,江苏,30.35,2.76,2.76,610692.25,488756.81,90769.46,265938.06,9.63,1.172,14.03,3.38,20110201,76089.15,2.76,31.69,34.55,21.99,10.76,6054,601799,0.2196,0.1081,2.0408,0.2966,30.4755,8.34,10.75,21.9917,323.5823,1.1717,3007.3902,10.8902,660422887.9,2.39 ,3872280000.00 ,47.42 ,13088306400.00 ,19.82 ,,,,,,,,,,,,
3017,鄂尔多斯,小金属,内蒙,25.58,6.12,10.32,4910733,1840357,2170156.75,130646.86,1.27,0.351,7.35,1.63,20010426,470609.59,4.56,36.19,93.61,26.9,2.36,78663,600295,0.1592,0.0498,3.3119,0.0708,8.5312,4.77,2.35,26.9044,362.4407,0.3512,15364.5603,14.8881,2446038000,2.37 ,7585200000.00 ,11.98 ,12363876000.00 ,5.05 ,,,,,,,,,,,,
2397,友邦吊顶,家居用品,浙江,33.65,0.26,0.88,134809.5,65900.27,17868.15,45059.78,5.14,1.04,12.35,3.78,20140128,48139.01,5.49,40.71,7.94,45.12,20.09,8207,2718,0.457,0.1537,2.3163,0.7762,77.954,8.42,20.09,45.1221,91.1055,1.0396,453.483,5.1748,207241731,2.36 ,1086800000.00 ,46.68 ,4108104000.00 ,19.82 ,,,,,,,,,,,,
446,古井贡酒,白酒,安徽,29.69,3.84,5.04,999517.19,582526.75,179408.38,129540.56,2.57,1.584,12.1,5.18,19960927,399839.25,7.94,18.6,36.92,75.37,14.92,19228,596,0.2194,0.1173,1.4169,0.3323,34.8435,13.08,14.92,75.369,797.4833,1.5835,5343.6947,10.6109,1172406617,2.33 ,6098400000.00 ,62.68 ,31589712000.00 ,26.94 ,,,,,,,,,,,,
196,青岛海尔,家用电器,山东,15.94,60.97,60.97,14444866,8203567,1546794,8346.28,0.01,0.932,4.95,4,19931119,2169003.5,3.56,41.27,48.48,29.9,4.77,138077,600690,0.1188,0.098,1.9912,0.141,18.5843,18.81,4.76,29.8998,5682.3617,0.9319,119189.6136,19.5476,14159726096,2.32 ,30180150000.00 ,19.80 ,120720600000.00 ,8.53 ,,,,,,,,,,,,
2763,亿联网络,通信设备,福建,26.1,0.37,1.49,286555.59,274086.88,1734.29,152470.25,10.21,3.49,18.35,6.06,20170317,102945.3,6.89,0,0,62.84,44.88,23171,300628,0.3214,0.1193,0.716,2.7425,274.2462,17.42,44.88,62.8435,477.5597,3.1978,1063.9767,7.1245,341962111.4,2.30 ,2734150000.00 ,111.20 ,16568949000.00 ,48.45 ,,,,,,,,,,,,
1457,裕同科技,广告包装,深圳,25.96,1.19,4,814957,542176.19,165292.94,137343,3.43,1.528,11.72,4.51,20161216,276662.25,6.92,25.94,10.9,31.74,13.51,13927,2831,0.1975,0.1096,1.4608,0.2599,35.6898,13.02,13.5,31.7417,611.0875,1.5276,4524.1403,11.31,893517709.3,2.23 ,4688000000.00 ,52.86 ,21142880000.00 ,23.66 ,,,,,,,,,,,,
163,春秋航空,空运,上海,17.35,8,8.01,2052272.38,679718.38,1081482.25,154903.27,1.93,1.484,10.47,3.28,20150121,568338.38,7.1,28.44,1.56,15.53,14.1,23472,601021,0.2106,0.0864,1.4931,0.1461,36.5166,14.16,14.1,15.5281,1187.8776,1.4837,8423.2084,10.5213,1773927689,2.21 ,8386470000.00 ,34.34 ,27507621600.00 ,15.51 ,,,,,,,,,,,,
1728,空港股份,园区开发,北京,38.63,3,3,284860.84,169269.13,4315.8,63739.06,2.12,0.196,4.81,2.1,20040318,44018.26,1.47,194.98,134.62,18.99,4.69,21363,600463,0.528,0.2326,13.1183,0.4994,52.4314,4.07,4.68,18.9879,58.8281,0.196,1254.8829,4.1829,662578171.2,2.21 ,1443000000.00 ,10.10 ,3030300000.00 ,4.57 ,,,,,,,,,,,,
1027,视源股份,元器件,广东,33.91,0.41,4.06,541879.5,463160.06,44692.76,81343.8,2,1.49,5.89,11.27,20170119,123421.35,3.04,23.2,0.28,21.11,7.99,12373,2841,0.1194,0.1644,1.4957,0.2957,30.1113,24.92,7.99,21.1091,596.3033,1.4675,7462.8586,18.3672,891065316.8,2.19 ,2391340000.00 ,66.38 ,26950401800.00 ,30.25 ,,,,,,,,,,,,
804,涪陵电力,水力发电,重庆,19.86,1.6,1.6,422040.19,102082.32,284731.31,40263.48,2.52,1.122,6.76,4.4,20040303,44296,2.77,36.68,38.71,18.08,11.63,7749,600452,0.2242,0.0821,1.9284,0.1103,16.5852,16.6,11.62,18.0806,179.5997,1.1224,1544.8884,9.6555,346363979.3,2.16 ,1081600000.00 ,29.74 ,4759040000.00 ,13.74 ,,,,,,,,,,,,
539,华域汽车,汽车配件,上海,12.84,28.67,31.53,11536123,7201481,1528255.38,1270531.25,4.03,1.528,12.55,2.08,19960826,1995362.38,6.33,11.69,7.82,14.05,4.64,57937,600741,0.0654,0.0588,0.9936,0.1005,12.0081,12.17,4.64,14.0487,4816.4187,1.5277,103745.5595,32.9066,6784959591,2.15 ,39570150000.00 ,26.10 ,82305912000.00 ,12.13 ,,,,,,,,,,,,
822,合盛硅业,化工原料,浙江,27.98,0.7,6.7,1137959.63,350271.03,387516.25,108740.97,1.62,1.442,6.02,8.94,20171030,189423.34,2.83,0,0,36.77,19.63,0,603260,0.2928,0.1266,1.42,0.1865,22.8703,26.74,19.63,36.7738,966.2335,1.6103,4921.4523,8.2024,1441001233,2.15 ,4033400000.00 ,53.82 ,36058596000.00 ,25.02 ,,,,,,,,,,,,
131,欧派家居,家居用品,广东,48.86,0.42,4.21,901359.31,460835.81,162250.63,290630.72,6.91,2.34,14.57,10.04,20170328,267802.22,6.37,0,0,35.19,13.68,12727,603833,0.1303,0.0998,0.9527,0.3118,32.4087,15.4,13.68,35.1865,944.5331,2.2456,6903.4829,16.4135,899523821.9,2.14 ,6133970000.00 ,146.28 ,61585058800.00 ,68.46 ,,,,,,,,,,,,
2433,杰克股份,纺织机械,浙江,31.33,0.55,2.07,339582.25,247262.47,61159.46,81597.06,3.95,1.17,9.88,4.79,20170119,94011.81,4.55,48.49,46.57,29.79,11.08,8606,603337,0.2082,0.1297,1.8808,0.3252,34.1257,11.47,11.07,29.7897,234.2813,1.1336,2115.3905,10.2355,440424302.1,2.13 ,2045160000.00 ,47.33 ,9796316400.00 ,22.24 ,,,,,,,,,,,,
3326,中农立华,其他商业,北京,30.15,0.33,1.33,239227.95,214653.55,5559.5,540.77,0.04,0.544,3.78,5.79,20171116,21996.17,1.65,0,0,11.33,2.51,35402,603970,0.097,0.1171,3.6415,0.1454,14.8155,19.21,2.51,11.3306,72.5267,0.7252,2887.7377,28.8773,280110556.9,2.11 ,502740000.00 ,21.89 ,2910864600.00 ,10.39 ,,,,,,,,,,,,
1727,郴电国际,水力发电,湖南,27.67,2.64,2.64,1274888.13,479028.44,464593.91,241206.59,9.13,0.273,12.47,0.81,20040408,54698.55,2.07,-5.03,-15.99,17.13,3.96,16223,600969,0.3047,0.0436,4.5795,0.0609,25.255,2.19,3.96,17.1257,72.2222,0.2732,1822.2513,6.894,555239971.1,2.10 ,3292080000.00 ,10.10 ,2666584800.00 ,4.80 ,,,,,,,,,,,,
2607,万和电气,家用电器,广东,29.78,3.73,4.4,608750.13,367615,100787.06,124905.4,2.84,0.625,6.54,3.8,20110128,105544.22,2.4,34.9,-6.35,29.03,5.9,15008,2543,0.1957,0.15,3.239,0.2993,30.7835,9.55,5.89,29.0263,275.0376,0.625,4663.6725,10.5992,912680708.3,2.07 ,2877600000.00 ,24.85 ,10934880000.00 ,11.98 ,,,,,,,,,,,,
369,天音控股,其他商业,江西,209.51,9.5,10.61,1406836.13,1021257.81,29793.15,31258.35,0.29,0.03,2.36,3.49,19971202,91914.05,0.87,11.45,-48.93,4.48,0.12,71271,829,0.0811,0.1562,36.7408,0.1932,20.6552,1.38,0.11,4.4778,31.3436,0.0326,27104.4641,28.254,2198172039,2.07 ,2503960000.00 ,8.24 ,8738820400.00 ,3.98 ,,,,,,,,,,,,
606,东易日盛,装修装饰,北京,129.07,0.75,2.63,292125.5,166142.16,27029.5,48322.07,1.84,0.17,3.61,7.67,20140219,13354.22,0.51,28.55,182.51,34.97,1.78,12322,2713,0.2286,0.1862,6.7086,0.286,28.8655,4.61,1.77,34.9708,42.3321,0.1668,2380.0263,9.3793,544074012.2,2.07 ,949430000.00 ,27.69 ,7282128100.00 ,13.38 ,,,,,,,,,,,,
1913,万华化学,化工原料,山东,9.57,27.34,27.34,6275300,2369630.25,2687574.5,239298.34,0.88,2.87,8.76,4.16,20010105,1724007.75,6.31,86.14,212.41,39.01,20.05,128600,600309,0.1445,0.0897,0.608,0.1561,20.3034,32.59,20.04,39.0138,7810.996,2.8569,38963.5039,14.2513,5630226314,2.06 ,23949840000.00 ,36.44 ,99631334400.00 ,17.70 ,,,,,,,,,,,,
1857,国投电力,水力发电,北京,11.53,67.86,67.86,20948890,1457605.63,13000390,647113.19,0.95,0.435,4.46,1.5,19960118,1585477.25,2.34,9.33,-13.39,43.44,12.2,211767,600886,0.5747,0.0664,2.3695,0.0928,42.1414,9.76,12.19,43.4379,2952.8192,0.4351,24205.1812,3.5669,13910717636,2.05 ,30265560000.00 ,6.69 ,45398340000.00 ,3.26 ,,,,,,,,,,,,
558,飞荣达,元器件,深圳,50.13,0.31,1,143031.81,118133.45,12152.87,34083.9,3.41,0.72,9.23,5.1,20170126,44824.78,4.48,30.23,-7.21,25.99,9.5,5641,300602,0.2761,0.1429,2.8502,0.4087,73.5133,7.62,9.5,25.9889,70.3435,0.7034,740.1663,7.4016,204359915.4,2.04 ,923000000.00 ,47.07 ,4707300000.00 ,23.03 ,,,,,,,,,,,,
3227,首旅酒店,酒店餐饮,北京,32.99,5.21,8.16,1718725.75,214291.16,254155.47,489234.94,6,0.73,8.9,3.34,20000601,131734.38,1.61,40.15,250.87,94.6,8.72,15326,600258,0.259,0.0951,2.8416,0.1695,43.1086,7.58,8.72,94.6043,550.4145,0.6747,6311.592,7.7372,1634702328,2.00 ,7262400000.00 ,29.73 ,24256416000.00 ,14.84 ,,,,,,,,,,,,
