,年龄,年收入,月基本工资,银行账户数,信用卡数,信用卡利率,获得的贷款数量,平均延迟付款天数,平均延迟付款次数,信用卡限额变化率,信用卡查询次数,剩余债务,信用卡使用率,月投资额,月余额
48,44.0,67930.88,5729.906667,5.0,4.0,25.0,7.0,24.0,11.0,11.28,7.0,2486.49,32.00127066,10000.0,299.1763396
49,17.0,65806.24,5626.853333,4.0,7.0,20.0,7.0,15.0,18.0,12.26,7.0,2301.51,26.43910719,112.7960697,470.4670433
50,33.0,48121.32,4253.11,6.0,9.0,29.0,2.0,21.0,20.0,9.13,12.0,1896.8,38.94156813,342.8131151,314.423055
51,25.0,45652.17,3888.3475,8.0,6.0,13.0,7.0,5.0,12.0,17.94,8.0,28.54,39.06021731,10000.0,399.93655
52,36.0,20487.905,680.3558333,4.0,4.0,2.0,3.0,9.0,1954.0,6.05,1.0,1464.77,35.9353198,161.2641638,261.6330832
53,45.0,7636.4,884.3666667,6.0,9.0,20.0,7.0,37.0,14.0,20.33,8.0,2614.48,32.52583687,45.25870195,291.0666173
54,44.0,31172.1,2600.675,6.0,10.0,16.0,5.0,50.0,23.0,26.93,7.0,3912.19,30.12464641,185.0658636,238.9560322
55,45.0,63093.32,5212.776667,4.0,1127.0,7.0,3.0,16.0,15.0,11.71,6.0,1441.44,38.67514922,158.6249323,491.8022941
56,29.0,74008.84,6229.403333,9.0,7.0,32.0,5.0,21.0,22.0,1.62,7.0,1548.55,38.56077228,724.1542949,18.29275352
57,36.0,132643.71,11028.6425,0.0,5.0,12.0,1.0,7.0,10.0,10.79,4.0,1439.7,37.87749197,478.0067568,846.2296515
58,47.0,106695.48,7810.766879,3.0,5.0,5.0,2.0,13.0,10.0,5.18,3.0,715.37,36.80113351,147.852578,854.174368
59,38.0,59227.68,4790.64,10.0,5.0,26.0,2.0,45.0,16.0,7.7,11.0,1277.25,34.37675938,176.4487093,461.0239497
60,43.0,10460.245,995.6870833,8.0,5.0,25.0,6.0,7.0,11.0,15.09,8.0,2625.88,35.70998423,68.63910385,282.6533756
61,21.0,22500.52,680.3558333,5.0,3.0,19.0,5.0,14.0,10.0,16.61,8.0,864.7,33.08629049,99.76825098,292.2150562
62,32.0,34153.67,2702.139167,6.0,7.0,17.0,2.0,19.0,14.0,6.94,4.0,226.31,30.7577925,158.6496434,321.5116543
63,53.0,134790.56,11053.54667,4.0,5.0,14.0,-100.0,30.0,9.0,2.93,2.0,349.04,42.44993019,255.9209352,977.5204058
64,49.0,86186.37,7438.1975,7.0,3.0,10.0,3.0,28.0,10.0,10.39,4.0,524.53,30.95804104,183.7980094,627.6255415
65,39.0,46268.4,3983.7,5.0,4.0,20.0,4.0,28.0,19.0,7.58,7.0,1447.57,25.28783804,215.3234739,349.268476
66,21.0,147819.96,12452.33,3.0,5.0,15.0,2.0,12.0,14.0,4.68,4.0,1205.02,37.895876,89.43525909,1171.166325
67,23.0,18569.39,1671.449167,10.0,5.0,18.0,8.0,26.0,20.0,25.43,7.0,3791.88,24.33556856,55.59213209,271.7027566
68,43.0,35205.24,3025.77,3.0,7.0,6.0,-100.0,8.0,8.0,11.85,0.0,851.4,28.7673616,342.5580031,226.7835671
69,34.0,85742.82,7111.235,2.0,2.0,1.0,-100.0,0.0,2.0,4.74,4.0,1253.52,26.78857075,131.3386078,710.4224149
70,20.0,30931.16,2521.596667,4.0,7.0,15.0,6.0,15.0,14.0,14.41,10.0,775.33,39.46966862,163.3591462,277.3257103
71,31.0,60552.76,4950.063333,3.0,7.0,12.0,3.0,25.0,3815.0,10.72,4.0,463.07,34.12312979,10000.0,10.30550807
72,54.0,57365.73,4730.4775,8.0,4.0,8.0,2.0,28.0,8.0,13.82,470.0,997.45,30.29241447,64.3051636,571.3515803
73,32.0,37885.46,3047.121667,4.0,7.0,22.0,6.0,30.0,8.0,9.61,11.0,2618.46,38.84220964,54.1109106,388.0454642
74,25.0,70646.64,680.3558333,4.0,8.0,21.0,7.0,23.0,11.0,19.35,9.0,1639.04,32.94731135,90.79373249,421.1739034
75,23.0,20538.77,680.3558333,8.0,10.0,23.0,6.0,15.0,18.0,3.42,6.0,2708.55,36.249504,127.0549299,282.1573322
76,41.0,16259.845,1398.987083,3.0,7.0,6.0,4.0,4.0,12.0,-1.4,5.0,1118.03,30.46247308,100.1158183,283.698621
77,26.0,92565.81,7870.8175,4.0,5.0,14.0,1.0,16.0,13.0,16.95,0.0,1236.76,33.18819968,956.4965422,65.32321112
78,18.0,28102.06,2115.838333,9.0,9.0,30.0,6.0,28.0,21.0,21.14,11.0,3240.55,31.41622239,265.3687506,121.9505368
79,34.0,46817.5,4142.458333,8.0,3.0,10.0,4.0,17.0,14.0,11.45,1.0,613.71,37.96336129,146.0329357,412.033989
80,44.0,71889.08,6266.756667,7.0,8.0,22.0,3.0,43.0,11.0,18.49,15.0,2461.32,29.20921807,41.4505848,715.5643049
81,33.0,22007.11,680.3558333,3.0,4.0,14.0,4.0,25.0,11.0,7.48,0.0,1330.7,28.50489714,36.26639575,356.9986091
82,18.0,18226.13,1383.844167,8.0,3.0,15.0,5.0,17.0,20.0,15.9,4.0,1125.37,36.74557305,91.41737828,245.6144702
83,38.0,21206.82,1881.235,1.0,5.0,4.0,1.0,-5.0,13.0,-2.5,4.0,246.86,27.2248202,203.6084181,260.0839359
84,5610.0,120260.2,9904.683333,4.0,5.0,14.0,1.0,12.0,20.0,18.5,2.0,1436.96,40.39440512,674.1490068,533.1642038
85,31.0,17150.52,1191.21,8.0,10.0,32.0,5.0,15.0,21.0,17.04,9.0,2515.23,35.85163099,10000.0,284.4073241
86,35.0,132082.17,680.3558333,3.0,4.0,12.0,3.0,6.0,7.0,3.59,7.0,1191.15,25.68551552,760.477658,439.9507978
87,31.0,90411.9,7394.325,7.0,3.0,16.0,1.0,22.0,11.0,3.97,5.0,472.21,34.79056777,65.14151793,842.1118903
88,14.0,104428.08,8866.34,3.0,4.0,8.0,-100.0,19.0,20.0,14.72,13.0,265.56,24.61287824,314.9883599,662.5180796
89,36.0,123802.52,10498.87667,4.0,3.0,20.0,2.0,24.0,16.0,8.52,2.0,954.71,39.23800928,297.3510487,898.3985457
90,38.0,86529.48,7463.79,7.0,5.0,19.0,2.0,5.0,8.0,7.22,1.0,1102.41,41.64278502,305.9866526,603.7946957
91,20.0,111188.04,9318.67,8.0,5.0,6.0,4.0,19.0,17.0,15.99,4.0,440.78,27.84644843,121.160253,805.2422088
92,15.0,19648.09,1890.340833,7.0,3.0,14.0,4.0,17.0,16.0,9.0,7.0,2052.35,33.20748455,47.92369642,361.4462834
93,25.0,25203.1,2234.258333,5.0,7.0,17.0,-100.0,8.0,9.0,2.61,3.0,393.77,36.10265464,69.25553974,364.9000464
94,30.0,106520.68,8789.723333,4.0,4.0,13.0,2.0,5.0,16.0,12.39,8.0,653.6,32.31618882,418.8431571,641.7913645
95,47.0,89057.64,7318.47,5.0,3.0,10.0,2.0,14.0,23.0,6.32,3.0,600.66,28.07516943,10000.0,725.3539034
96,19.0,41209.68,3413.14,6.0,7.0,31.0,7.0,48.0,21.0,9.23,10.0,1801.46,25.82492874,169.3396905,304.2265893
97,49.0,98518.68,8050.89,8.0,5.0,18.0,2.0,5.0,15.0,10.35,1340.0,128.35,36.2454593,160.829665,740.8157836
98,41.0,106602.63,8924.5525,7.0,5.0,12.0,2.0,25.0,22.0,11.33,4.0,962.51,37.05750468,848.04593,198.4950574
99,55.0,14544.485,1224.040417,5.0,5.0,11.0,4.0,22.0,10.0,-0.27,0.0,788.41,38.14977407,52.9101139,312.9754382
100,54.0,44083.28,3703.606667,1.0,4.0,9.0,3.0,8.0,4.0,3.45,1.0,616.74,27.99269132,235.8358674,348.5149664
101,36.0,107392.74,8681.395,5.0,5.0,6.0,1.0,30.0,20.0,10.69,4.0,248.84,30.4092793,502.2967112,574.228892
102,19.0,35389.89,680.3558333,4.0,7.0,10.0,2.0,12.0,15.0,11.79,2.0,873.71,26.49003867,10000.0,340.725407
103,52.0,31223.33,2208.259537,8.0,3.0,9.0,4.0,29.0,13.0,8.89,3.0,906.8,37.20606736,126.3612734,326.603153
104,18.0,132753.52,10853.79333,5.0,4.0,6.0,3.0,2.0,9.0,11.78,2.0,1452.83,33.07557631,753.8930795,352.5696847
105,30.0,63473.6,5385.466667,5.0,7.0,20.0,5.0,30.0,18.0,21.93,8.0,1029.31,35.29234501,139.2754399,475.9626704
106,40.0,26523.72,1915.31,5.0,3.0,6.0,5.0,19.0,15.0,15.68,6.0,368.29,24.4244855,90.57516541,296.9711395
107,46.0,112938.08,9562.506667,2.0,7.0,9.0,1.0,0.0,4.0,9.48,0.0,1398.69,40.01909839,170.7778573,944.1061893
108,23.0,19899.64,1759.303333,5.0,3.0,6.0,2.0,4.0,10.0,4.85,4.0,714.58,28.05198375,82.60676203,346.1977593
109,46.0,151854.56,680.3558333,3.0,4.0,9.0,3.0,9.0,5.0,11.42,2.0,1205.6,36.66072867,444.365641,753.8072993
110,43.0,20159.39,1403.949167,10.0,7.0,16.0,5.0,21.0,15.0,8.52,11.0,3604.92,36.60841854,81.43807981,258.478973
111,41.0,44678.57,3502.214167,3.0,6.0,9.0,1.0,12.0,10.0,10.41,5.0,834.0,25.2159349,376.8720354,238.1915149
112,31.0,17685.73,1552.810833,2.0,1.0,5.0,4.0,3.0,10.0,5.53,3.0,838.13,40.40269726,193.156343,213.5912293
113,27.0,29901.97,2462.830833,3.0,4.0,7.0,2.0,15.0,9.0,1.07,1.0,319.85,27.57786867,81.5302641,382.3185103
114,53.0,115380.18,680.3558333,0.0,4.0,12.0,2.0,12.0,9.0,-0.1,2.0,101.29,32.52184484,102.5767116,945.9643276
115,29.0,14952.03,1445.0025,10.0,8.0,22.0,9.0,19.0,27.0,12.2,10.0,3566.21,37.89675977,26.78588176,272.1307543
116,31.0,15330.305,1135.525417,4.0,5.0,5.0,4.0,15.0,19.0,9.03,4.0,672.49,32.99151941,65.97411959,291.1894773
117,15.0,103351.98,8414.665,5.0,3.0,10.0,-100.0,26.0,18.0,19.82,5.0,1442.03,32.88890539,74.75471831,712.9852483
118,41.0,15551.6,1315.966667,6.0,3.0,13.0,6.0,8.0,10.0,12.81,6.0,1901.28,25.22364012,107.678408,264.3598273
119,33.0,14049.075,1213.75625,4.0,7.0,4.0,1.0,13.0,1.0,6.69,5.0,1409.86,37.81729924,27.85439952,342.6724384
120,35.0,28647.75,2161.3125,5.0,6.0,5.0,5.0,5.0,12.0,24.36,7.0,82.6,33.17743514,10000.0,245.9699525
121,38.0,29410.64,2712.886667,8.0,10.0,34.0,5.0,57.0,20.0,0.85,12.0,1830.01,31.24849516,193.6770638,236.6687361
122,22.0,16110477.0,3843.925,9.0,9.0,31.0,7.0,27.0,23.0,17.49,8.0,3813.3,38.75000245,171.3417004,317.3985679
123,38.0,21833.79,1814.4825,5.0,4.0,6.0,4.0,14.0,11.0,5.53,8.0,14.56,33.96299942,207.7136685,192.4545759
124,31.0,42400.7,3627.391667,4.0,5.0,5.0,2.0,24.0,1.0,6.54,4.0,699.11,33.04626818,212.0269819,364.9365666
125,21.0,28256.16,2500.68,8.0,7.0,22.0,9.0,23.0,21.0,8.95,9.0,1721.83,25.381915,121.3025672,212.8982518
126,20.0,60489.88,4996.823333,4.0,5.0,5.0,-100.0,5.0,12.0,9.48,4.0,465.98,24.36668145,10000.0,576.6875336
127,49.0,59703.46,4739.288333,3.0,3.0,9.0,4.0,6.0,8.0,4.36,1.0,621.5,22.85016213,574.6865552,67.27495523
128,36.0,36573.8,2809.816667,9.0,9.0,31.0,8.0,58.0,10.0,24.37,9.0,4990.91,33.58551053,87.57382129,281.6942643
129,39.0,51031.6,4180.633333,4.0,6.0,16.0,3.0,13.0,11.0,10.54,1.0,1437.83,27.65532171,214.9114386,349.9922519
130,38.0,76644.16,6156.013333,5.0,4.0,9.0,3.0,29.0,10.0,0.68,1.0,1431.83,40.24964429,143.0281883,604.8893079
131,18.0,19852.64,1921.386667,5.0,4.0,18.0,2.0,30.0,10.0,18.92,8.0,1355.63,35.49500123,120.9564609,309.4173583
132,44.0,36354.02,3062.501667,9.0,9.0,32.0,7.0,28.0,16.0,16.86,1843.0,2654.94,26.2775256,76.91693932,354.4253968
133,18.0,56803.71,4620.6425,7.0,5.0,3951.0,6.0,46.0,23.0,21.23,11.0,2593.44,32.07852764,186.0685566,348.8054746
134,1402.0,167753.52,14035.46,3.0,3.0,12.0,3.0,7.0,6.0,-5.38,2.0,1079.59,26.49016988,916.4667054,509.7635048
135,29.0,19170.73,680.3558333,3.0,5.0,8.0,-100.0,5.0,0.0,11.35,4.0,318.94,25.29847292,81.34097559,282.1670353
136,24.0,29404.31,2359.359167,6.0,7.0,9.0,1.0,19.0,19.0,7.35,2308.0,1288.52,35.5241373,10000.0,430.4808936
137,43.0,15427.215,680.3558333,0.0,3.0,8.0,4.0,10.0,3.0,11.22,4.0,966.45,35.05334815,96.92503388,269.6182575
138,21.0,76019.68,6602.973333,9.0,6.0,29.0,8.0,15.0,17.0,13.44,6.0,1743.81,38.95144424,92.69964698,427.0088869
139,26.0,29374.77,2377.8975,3.0,7.0,6.0,2.0,23.0,15.0,16.65,7.0,1189.37,35.68771724,158.4885616,329.0371143
140,19.0,31318.84,2334.903333,7.0,9.0,26.0,8.0,35.0,22.0,28.55,10.0,4286.15,40.79273555,215.968135,143.2172227
141,23.0,42936.48,3532.04,8.0,5.0,18.0,8.0,24.0,18.0,26.79,11.0,3542.14,32.68417474,49.25019029,369.3203652
142,16.0,18249.16,1677.763333,4.0,7.0,6.0,2.0,13.0,13.0,16.09,4.0,496.55,31.37635442,218.4361158,217.7562121
143,41.0,56195.04,4901.92,9.0,5.0,17.0,8.0,32.0,17.0,8.78,12.0,1450.16,25.56422937,10000.0,345.4564283
144,39.0,20226.28,1617.523333,8.0,6.0,14.0,2.0,28.0,9.0,10.79,13.0,767.58,24.68778517,159.4348203,255.4861694
145,28.0,7709.625,625.46875,7.0,9.0,31.0,6.0,28.0,18.0,16.01,14.0,2518.98,21.87754393,36.52624344,281.61132
146,31.0,37159.0,680.3558333,5.0,4.0,15.0,4.0,16.0,20.0,13.43,8.0,1051.35,36.50958287,26.73574195,468.6191647
147,45.0,9766.965,800.91375,8.0,10.0,20.0,6.0,36.0,10.0,4.86,8.0,2223.4,23.34208603,87.99770628,256.7419616
148,24.0,45499.89,3659.411208,8.0,8.0,33.0,5.0,30.0,20.0,22.41,9.0,4654.47,34.93346959,413.8210491,169.7439973
149,44.0,32632.16,2789.346667,6.0,9.0,25.0,2.0,39.0,10.0,7.68,7.0,1309.09,24.16168867,58.46004015,445.2829817
150,55.0,36368.55,2782.7125,6.0,5.0,15.0,4.0,10.0,9.0,8.52,3.0,950.56,29.35563655,346.2494934,126.5881665
151,51.0,73562.46,5888.205,5.0,3.0,15.0,2.0,8.0,16.0,16.6,4.0,217.92,39.9559661,169.4215577,568.7486914
152,29.0,134951.25,11014.9375,1.0,4.0,5.0,4.0,12.0,4.0,1.96,4.0,496.32,33.30919888,705.3181567,308.339988
153,32.0,33949.42,3102.118333,5.0,6.0,5.0,2.0,7.0,20.0,3.15,1.0,385.92,24.69951653,50.53248284,465.2180715
154,26.0,30789.35,2738.779167,5.0,4.0,7.0,4.0,0.0,4.0,5.72,4.0,1106.11,40.91226292,59.04007963,390.972137
155,44.0,65522.84,5376.236667,10.0,8.0,18.0,9.0,32.0,23.0,1.38,9.0,1382.94,29.90073207,94.545339,293.7065154
156,18.0,8285.085,592.42375,6.0,6.0,33.0,5.0,50.0,20.0,11.56,7.0,1821.76,28.26446959,10000.0,277.0431851
157,54.0,113284.84,680.3558333,5.0,4.0,7.0,3.0,5.0,18.0,18.59,1.0,920.25,37.3198399,859.4255634,104.5981539
158,30.0,106879.71,8676.6425,1.0,4.0,11.0,4.0,7.0,7.0,2.31,7.0,1057.95,23.73985332,449.3561556,495.6534197
159,28.0,31170.53,2854.544167,1.0,5.0,6.0,2.0,12.0,7.0,7.55,0.0,462.11,34.97313839,66.89611287,443.5266612
160,20.0,59885.28,5057.44,8.0,3.0,21.0,4.0,25.0,16.0,8.52,7.0,2100.23,38.63789098,619.9528046,57.37098883
161,40.0,58596.3,4976.025,5.0,4.0,12.0,4.0,12.0,8.0,4.04,3.0,286.92,33.42702809,172.9383199,433.7140235
162,37.0,76879.4,6214.616667,10.0,6.0,23.0,9.0,55.0,15.0,8.52,12.0,4070.63,35.59419449,489.5883753,23.48430439
163,34.0,101954.94,8544.245,1.0,6.0,3.0,4.0,6.0,7.0,3.79,2.0,606.47,32.77474259,220.3744005,608.2302761
164,51.0,21324.515,1532.042917,0.0,7.0,3.0,4.0,2.0,13.0,3.84,6.0,361.43,34.25776421,108.7078203,270.422329
165,38.0,69209.85,6047.4875,6.0,3.0,9.0,2.0,29.0,12.0,6.9,2.0,225.58,38.27546677,214.029309,564.3415559
166,25.0,111845.6,9174.466667,3.0,4.0,11.0,1.0,23.0,20.0,10.73,2.0,302.94,42.47069422,207.0044225,884.7302363
167,34.0,76891.0,6480.583333,6.0,7.0,19.0,4.0,56.0,21.0,1.79,7.0,1999.24,31.96985398,443.4565047,334.344669
168,27.0,103351.8,8465.65,3.0,7.0,8.0,2.0,12.0,8.0,10.03,8.0,1246.62,29.53270436,10000.0,270.2141844
169,37.0,15432.2,1201.016667,2.0,6.0,7.0,4.0,12.0,-1.0,3.27,3.0,1478.53,28.05234445,101.5832036,268.4913382
170,45.0,77460.2,6494.016667,4.0,7.0,25.0,2.0,23.0,10.0,15.67,9.0,1329.63,33.31580482,138.7579643,641.8256542
171,39.0,68471.16,5967.93,4.0,3.0,11.0,3.0,12.0,19.0,2.59,929.0,403.31,25.72168449,344.735562,354.52117
172,21.0,14517.44,1293.786667,10.0,8.0,30.0,6.0,60.0,19.0,4.73,6.0,1384.57,22.37374468,69.73945273,299.5011243
173,26.0,122543.56,10343.96333,5.0,6.0,18.0,4.0,25.0,19.0,2.41,5.0,1302.42,34.09543866,765.0120026,199.9035588
174,40.0,20171.07,1962.9225,9.0,7.0,26.0,7.0,30.0,25.0,17.81,10.0,2789.42,31.35352015,89.71599341,314.4524447
175,15.0,70391.92,5326.1424,10.0,8.0,18.0,9.0,22.0,23.0,27.35,8.0,3363.51,28.16291228,138.1333272,400.3024114
176,14.0,59788.89,5053.4075,9.0,9.0,20.0,7.0,36.0,10.0,18.13,6.0,3547.66,35.22912928,399.3316693,197.4303675
177,43.0,36228.12,3105.01,3.0,7.0,3.0,2.0,6.0,3.0,11.62,2.0,1475.78,29.39318321,319.4205521,242.034617
178,37.0,9339.455,924.2879167,9.0,6.0,28.0,7.0,31.0,19.0,20.56,9.0,2637.94,33.57667185,49.75649559,285.9864293
179,24.0,17223.875,1599.529005,3.0,5.0,16.0,4.0,6.0,10.0,11.57,13.0,637.5,34.00787215,65.70932191,336.7566896
180,32.0,108223.71,8874.6425,1.0,7.0,2.0,1.0,5.0,10.0,14.54,1.0,1044.63,23.86825571,755.3062414,360.5106683
181,47.0,16520.865,1492.73875,4.0,1.0,8.0,2.0,1.0,6.0,1.53,8.0,841.69,31.21153568,56.96672942,328.1757664
182,43.0,99618.84,8238.57,2.0,5.0,1617.0,4.0,2.0,10.0,10.32,1.0,128.48,30.47605719,260.9142173,635.4391972
183,24.0,41403.34,680.3558333,4.0,6.0,2.0,2.0,23.0,10.0,4.23,1.0,215.84,40.08629458,127.8807661,462.4946769
184,21.0,53075.22,4278.935,1770.0,8.0,20.0,7.0,42.0,27.0,16.23,713.0,3605.94,34.96099096,10000.0,292.8139358
185,36.0,21945.825,1979.81875,2.0,6.0,2.0,4.0,10.0,4.0,6.57,3.0,202.68,32.84672737,132.7098839,271.9474376
186,20.0,8637.095,644.7579167,5.0,7.0,14.0,4.0,18.0,14.0,9.25,7.0,2039.13,30.44555257,36.99897153,290.0296407
187,42.0,19833.55,1674.795833,7.0,7.0,23.0,4.0,28.0,17.0,2.88,8.0,1316.95,22.34104054,10000.0,300.9839596
188,51.0,125049.78,10426.815,1.0,5.0,7.0,3.0,6.0,10.0,5.7,1.0,593.96,33.52229736,1139.84955,14.69406461
189,35.0,28415.93,2241.994167,2.0,2.0,12.0,2.0,6.0,10.0,2.4,1.0,1112.8,31.25197651,267.7912736,210.9387421
190,21.0,34334.9,680.3558333,5.0,6.0,8.0,3.0,8.0,3.0,9.58,1.0,1094.04,38.0175321,190.8863522,324.6907151
191,20.0,16684.91,1138.409167,8.0,8.0,27.0,7.0,57.0,27.0,6.22,11.0,2588.85,25.65963708,117.3187458,222.7508997
192,39.0,7762.595,712.8829167,3.0,9.0,17.0,2.0,12.0,14.0,4.27,6.0,2407.95,30.35949269,88.34467973,262.3911744
193,25.0,35239.54,2807.628333,9.0,6.0,16.0,9.0,31.0,10.0,16.75,9.0,3210.75,34.24959897,328.2052169,42.84484155
